"filename", "language", "JSON", "YAML", "Docker", "Ignore", "JavaScript", "Markdown", "Log", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\.dockerignore", "Ignore", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\.vs\VSWorkspaceState.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\Dockerfile", "Docker", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 32, 69
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\debug.log", "Log", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\docker-compose.debug.yml", "YAML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\docker-compose.yml", "YAML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\jsconfig.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\package-lock.json", "JSON", 14893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14894
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\css\aos.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\css\font-awesome.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 13, 4, 40
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\aos.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\font-awesome.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 5
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\js\jquery.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\public\manifest.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 13, 75
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\App.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\account\account.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 37
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\account\account.js", "JavaScript", 0, 0, 0, 0, 272, 0, 0, 0, 0, 0, 0, 58, 330
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\activate\activate.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\activate\activate.js", "JavaScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 17, 74
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 11, 49
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps.js", "JavaScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 13, 56
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\datepickerDashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 6, 29
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\datepickerDashboard.js", "JavaScript", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 29, 128
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\dashboard\elements\dashboard-card.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\datepicker-availability.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\datepicker-availability.js", "JavaScript", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 47, 200
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerAvailability\elements\datepicker-date.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerCreator\datepicker-creator.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 7
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerCreator\datepicker-creator.js", "JavaScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 10, 45
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerEditor\datepicker-editor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerEditor\datepicker-editor.js", "JavaScript", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 14, 62
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerForm\datepicker-form.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerForm\datepicker-form.js", "JavaScript", 0, 0, 0, 0, 208, 0, 0, 0, 0, 0, 0, 49, 257
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\datepicker-status.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\datepicker-status.js", "JavaScript", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 41, 171
"d:\Deze Pc\Documenten\Nextcloud\School\Fontys\Semester 4\Fun\Applicaties\ehv-vrienden-website\src\components\apps\apps\datepicker\datepickerStatus\elements\datepicker-status-date.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 39
